LD,Flow,IsB,Epi,Height,Mean,se
Light,Static,B,without,3,108.3770543,3.455578474
Light,Static,B,with,4,117.0401861,6.572233892
Light,Static,B,without,4,105.5442566,2.923769994
Light,Static,B,with,5,107.109819,2.233296735
Light,Static,B,without,5,106.0636742,1.943402042
Light,Static,B,with,6,105.4366088,1.715384131
Light,Static,B,without,6,106.350867,2.667297756
Light,Static,B,with,7,108.1809356,3.224315023
Light,Static,B,without,7,104.5053606,1.685613897
Light,Static,B,with,9,108.5311302,2.812906835
Light,Static,B,without,9,103.9161432,1.898588009
Light,Static,B,with,11,105.91667,1.83817745
Light,Static,B,without,11,102.3338849,1.516647702
Light,Static,B,with,14,102.7274215,1.158792557
Light,Static,B,without,14,101.2974411,0.845088479
Light,Static,B,with,17,101.9544364,0.827556931
Light,Static,B,without,17,100.7003148,0.368437902
Light,Static,B,with,22,101.870765,0.771558098
Light,Static,B,without,22,100.6070149,0.694657809
Light,Static,IS,with,0,200.8867964,14.43420162
Light,Static,IS,without,0,231.1163591,15.1485278
Light,Static,IS,with,0.25,201.3059634,14.12419833
Light,Static,IS,without,0.25,226.6808252,14.90888218
Light,Static,IS,with,0.5,198.409679,13.39815577
Light,Static,IS,without,0.5,216.0234648,13.8509767
Light,Static,IS,with,0.75,193.5958629,12.3339944
Light,Static,IS,without,0.75,209.0142588,12.90043824
Light,Static,IS,with,1,188.1046253,10.62700877
Light,Static,IS,without,1,201.9211875,12.08487384
Light,Static,IS,with,1.5,182.4364562,10.56341513
Light,Static,IS,without,1.5,197.934268,11.8455937
Light,Static,IS,with,2,175.0266523,11.02316903
Light,Static,IS,without,2,194.7027499,11.96799174
Light,Static,IS,with,2.5,167.8553604,10.42567659
Light,Static,IS,without,2.5,189.0809684,12.54094793
Light,Static,IS,with,3,160.0190252,9.738383106
Light,Static,IS,without,3,179.8280716,13.35726017
Light,Static,IS,with,4,147.3093083,8.53241002
Light,Static,IS,without,4,163.7315016,10.59126415
Light,Static,IS,with,5,131.7099486,6.833843905
Light,Static,IS,without,5,149.4549499,8.709210471
Light,Static,IS,with,6,119.3464422,6.026930121
Light,Static,IS,without,6,146.2185705,9.346315901
Light,Static,IS,with,7,117.0976167,6.813562419
Light,Static,IS,without,7,136.5085977,9.829090494
Light,Static,IS,with,9,113.3282999,4.142513245
Light,Static,IS,without,9,120.3133625,5.549500454
Light,Static,IS,with,11,109.8956716,3.531891331
Light,Static,IS,without,11,108.0179197,3.691896907
Light,Static,IS,with,14,109.9347238,4.079001772
Light,Static,IS,without,14,104.6574226,2.603309821
Light,Static,IS,with,17,103.4666259,1.32979723
Light,Static,IS,without,17,104.1084088,2.369065555
Light,Static,IS,with,22,100.9287264,0.563594758
Light,Static,IS,without,22,100.4336448,0.230883361
